# time	sigma	esigma	dBdt
1.000000e-06	-2.000000	0.043430	1.800000e-03
1.487352e-06	-2.000000	0.043430	1.800000e-03
2.212216e-06	-2.000000	0.043430	1.799945e-03
3.290345e-06	-2.000000	0.043430	1.796680e-03
4.893901e-06	-2.002344	0.043430	1.763348e-03
7.278954e-06	-2.028564	0.043430	1.630656e-03
1.082637e-05	-2.080199	0.043430	1.217617e-03
1.610262e-05	-2.151108	0.043430	6.687670e-04
2.395027e-05	-2.234324	0.043430	2.789726e-04
3.562248e-05	-2.306057	0.043430	1.011284e-04
5.298317e-05	-2.218024	0.043430	5.359736e-05
7.880463e-05	-2.109945	0.043430	2.986920e-05
1.172102e-04	-2.000536	0.043430	1.663509e-05
1.743329e-04	-1.894113	0.043430	9.144138e-06
2.592944e-04	-1.792724	0.043430	4.929551e-06
3.856620e-04	-1.697587	0.043430	2.595600e-06
5.736153e-04	-1.613027	0.043430	1.315954e-06
8.531679e-04	-1.552735	0.043430	6.137563e-07
1.268961e-03	-1.519200	0.043430	2.605974e-07
1.887392e-03	-1.511414	0.043430	1.009057e-07
2.807216e-03	-1.525755	0.043430	3.605075e-08
4.175319e-03	-1.556729	0.043430	1.211378e-08
6.210169e-03	-1.598208	0.043430	3.913306e-09
9.236709e-03	-1.644590	0.043430	1.240229e-09
1.373824e-02	-1.691520	0.043430	3.917596e-10
2.043360e-02	-1.736082	0.043430	1.246550e-10
3.039195e-02	-1.776625	0.043430	4.019762e-11
4.520354e-02	-1.812441	0.043430	1.317183e-11
6.723358e-02	-1.843436	0.043430	4.387762e-12
1.000000e-01	-1.869874	0.043430	1.484667e-12
