# time  sigma   esigma  V/I
1.000000e-06    -1.973348     0.043430   200.000000 
1.487352e-06    -2.034412     0.043430   199.999999 
2.212216e-06    -2.032066     0.043430   199.999402 
3.290345e-06    -2.024285     0.043430   199.947759 
4.893901e-06    -2.090672     0.043430   200.044311 
7.278954e-06    -1.985413     0.043430   204.126258 
1.082637e-05    -2.070443     0.043430   196.042442 
1.610262e-05    -2.173755     0.043430   161.184425 
2.395027e-05    -2.193215     0.043430   111.325060 
3.562248e-05    -2.357403     0.043430    67.886868 
5.298317e-05    -2.221092     0.043430    43.282526 
7.880463e-05    -2.117189     0.043430    27.804168 
1.172102e-04    -1.990960     0.043430    17.812339 
1.743329e-04    -1.884728     0.043430    11.346518 
2.592944e-04    -1.818670     0.043430     7.173902 
3.856620e-04    -1.698489     0.043430     4.495995 
5.736153e-04    -1.617973     0.043430     2.780686 
8.531679e-04    -1.533904     0.043430     1.672959 
1.268961e-03    -1.486402     0.043430     0.974792 
1.887392e-03    -1.478136     0.043430     0.549917 
2.807216e-03    -1.551664     0.043430     0.301407 
4.175319e-03    -1.554409     0.043430     0.161542 
6.210169e-03    -1.634632     0.043430     0.085317 
9.236709e-03    -1.677995     0.043430     0.044724 
1.373824e-02    -1.691726     0.043430     0.023402 
2.043360e-02    -1.690103     0.043430     0.012269 
3.039195e-02    -1.799715     0.043430     0.006460 
4.520354e-02    -1.801300     0.043430     0.003419 
6.723358e-02    -1.850204     0.043430     0.001819 
1.000000e-01    -1.836353     0.043430     0.000973 
